Heures,Consommation,Pr�vision J-1,Pr�vision J,Fioul,Charbon,Gaz,Nucl�aire,Eolien,Solaire,Hydraulique,Pompage,Bio�nergies,Ech. physiques,Taux de Co2,Ech. comm. Angleterre,Ech. comm. Espagne,Ech. comm. Italie,Ech. comm. Suisse,Ech. comm. Allemagne-Belgique,Fioul - TAC,Fioul - Cog�n.,Fioul - Autres,Gaz - TAC,Gaz - Cog�n.,Gaz - CCG,Gaz - Autres,Hydraulique - Fil de l?eau + �clus�e,Hydraulique - Lacs,Hydraulique - STEP turbinage,Bio�nergies - D�chets,Bio�nergies - Biomasse,Bio�nergies - Biogaz
00:00,54335,54700,54300,183,336,7348,45640,1592,0,8071,-15,720,-9591,71,-1802,-2550,-2997,-2501,139,-3,46,140,0,2504,4843,1,5679,2371,21,236,274,210
00:15,53606,53550,53150,185,362,7037,45634,1638,0,7781,-97,717,-9700,70,,,,,,-3,47,141,0,2511,4525,1,5377,2380,24,234,273,210
00:30,52035,52400,52000,183,328,6753,45501,1630,0,7406,-519,717,-10014,68,-1802,-2550,-2997,-2501,139,-3,47,139,0,2514,4238,1,5375,2028,3,233,274,210
00:45,50244,51200,50750,185,302,6547,45099,1673,0,7037,-1070,720,-10293,68,,,,,,-3,47,141,0,2512,4034,1,5274,1763,0,235,275,210
01:00,49604,50000,49500,185,305,6564,45301,1670,0,7116,-1482,719,-10826,69,-1802,-2550,-2997,-2684,-698,-2,47,140,0,2504,4059,1,5267,1849,0,235,274,210
01:15,50220,50450,50000,185,379,6834,45878,1652,0,6954,-1524,689,-10875,71,,,,,,-2,47,140,0,2494,4339,1,5066,1888,0,236,243,210
01:30,49464,50900,50500,184,325,6641,45455,1708,0,6840,-1530,687,-10893,69,-1802,-2550,-2997,-2684,-698,-3,47,140,0,2491,4149,1,5042,1798,0,234,243,210
01:45,49456,50600,50200,182,358,6711,45646,1706,0,6687,-1533,687,-11029,70,,,,,,-6,47,141,0,2495,4215,1,4910,1777,0,234,243,210
02:00,48783,50300,49900,182,315,6595,45404,1712,0,6604,-1527,689,-11233,69,-1802,-2550,-2997,-2726,-1054,-6,47,141,0,2493,4101,1,4913,1691,0,236,243,210
02:15,49296,49600,49000,182,382,6632,45878,1709,0,6503,-1842,686,-10863,70,,,,,,-6,47,141,0,2497,4134,1,4706,1797,0,234,242,210
02:30,48137,48900,48100,182,350,6552,45638,1699,0,6229,-1996,694,-11243,70,-1802,-2550,-2997,-2726,-1054,-6,47,141,0,2500,4051,1,4664,1565,0,241,243,210
02:45,47319,48350,47250,182,341,6434,45530,1688,0,6048,-2318,694,-11320,70,,,,,,-6,47,141,0,2497,3936,1,4590,1458,0,241,243,210
03:00,46432,47800,46400,182,314,6376,45409,1697,0,5986,-2327,686,-11936,69,-1802,-2550,-3062,-2845,-2199,-6,47,141,0,2499,3876,1,4601,1385,0,233,243,210
03:15,46229,47250,45950,182,354,6569,45557,1637,0,6054,-2344,684,-12509,71,,,,,,-6,47,141,0,2498,4070,1,4604,1450,0,231,243,210
