rowID,Jours , Periodes , Valeurs 
1, 21/04/2017,0:00 - 0:30,56347
2, 21/04/2017,0:30 - 1:00,53835
3, 21/04/2017,1:00 - 1:30,54406
4, 21/04/2017,1:30 - 2:00,53278
5, 21/04/2017,2:00 - 2:30,52012
6, 21/04/2017,2:30 - 3:00,50575
7, 21/04/2017,3:00 - 3:30,49748
8, 21/04/2017,3:30 - 4:00,49079
9, 21/04/2017,4:00 - 4:30,49228
10, 21/04/2017,4:30 - 5:00,49622
11, 21/04/2017,5:00 - 5:30,51362
12, 21/04/2017,5:30 - 6:00,53265
13, 21/04/2017,6:00 - 6:30,55987
14, 21/04/2017,6:30 - 7:00,57741
15, 21/04/2017,7:00 - 7:30,59982
16, 21/04/2017,7:30 - 8:00,62301
17, 21/04/2017,8:00 - 8:30,63663
18, 21/04/2017,8:30 - 9:00,64753
19, 21/04/2017,9:00 - 9:30,65251
20, 21/04/2017,9:30 - 10:00,64931
21, 21/04/2017,10:00 - 10:30,64530
22, 21/04/2017,10:30 - 11:00,63809
23, 21/04/2017,11:00 - 11:30,63333
24, 21/04/2017,11:30 - 12:00,63492
25, 21/04/2017,12:00 - 12:30,62100
26, 21/04/2017,12:30 - 13:00,62664
27, 21/04/2017,13:00 - 13:30,59749
28, 21/04/2017,13:30 - 14:00,58521
29, 21/04/2017,14:00 - 14:30,58636
30, 21/04/2017,14:30 - 15:00,55884
31, 21/04/2017,15:00 - 15:30,54963
32, 21/04/2017,15:30 - 16:00,53627
33, 21/04/2017,16:00 - 16:30,52495
34, 21/04/2017,16:30 - 17:00,51551
35, 21/04/2017,17:00 - 17:30,51073
36, 21/04/2017,17:30 - 18:00,51778
37, 21/04/2017,18:00 - 18:30,52322
38, 21/04/2017,18:30 - 19:00,53638
39, 21/04/2017,19:00 - 19:30,53580
40, 21/04/2017,19:30 - 20:00,53540
41, 21/04/2017,20:00 - 20:30,53052
42, 21/04/2017,20:30 - 21:00,54439
43, 21/04/2017,21:00 - 21:30,53928
44, 21/04/2017,21:30 - 22:00,52924
45, 21/04/2017,22:00 - 22:30,54291
46, 21/04/2017,22:30 - 23:00,57330
47, 21/04/2017,23:00 - 23:30,57245
48, 21/04/2017,23:30 - 24:00,55634
49, 22/04/2017,0:00 - 0:30,53053
50, 22/04/2017,0:30 - 1:00,50409
51, 22/04/2017,1:00 - 1:30,50741
52, 22/04/2017,1:30 - 2:00,49381
53, 22/04/2017,2:00 - 2:30,47898
54, 22/04/2017,2:30 - 3:00,46176
55, 22/04/2017,3:00 - 3:30,45099
56, 22/04/2017,3:30 - 4:00,44237
57, 22/04/2017,4:00 - 4:30,43936
58, 22/04/2017,4:30 - 5:00,43802
59, 22/04/2017,5:00 - 5:30,44625
60, 22/04/2017,5:30 - 6:00,45572
61, 22/04/2017,6:00 - 6:30,46376
62, 22/04/2017,6:30 - 7:00,46328
63, 22/04/2017,7:00 - 7:30,47251
64, 22/04/2017,7:30 - 8:00,48402
65, 22/04/2017,8:00 - 8:30,50178
66, 22/04/2017,8:30 - 9:00,51893
67, 22/04/2017,9:00 - 9:30,53094
68, 22/04/2017,9:30 - 10:00,53560
69, 22/04/2017,10:00 - 10:30,53670
